N,Unnamed: 1,Unnamed: 2
0.00061678,1650.545,4.433132e-06
0.00062294,1652.408,4.49657e-06
0.00062911,1654.111,4.558662e-06
0.00063528,1655.673,4.619405e-06
0.00064145,1657.108,4.678805e-06
0.00064762,1658.432,4.736872e-06
0.00065378,1659.658,4.793623e-06
0.00065995,1660.795,4.849078e-06
0.00066612,1661.855,4.903261e-06
0.00067845,1663.77,5.00785e-06
0.00069079,1665.47,5.107736e-06
0.00070312,1666.999,5.203155e-06
0.00071546,1668.389,5.294348e-06
0.0007278,1669.667,5.381548e-06
0.00074013,1670.85,5.464981e-06
0.00075247,1671.952,5.544863e-06
0.0007648,1672.985,5.621396e-06
0.00077714,1673.955,5.694768e-06
0.00078947,1674.869,5.765155e-06
0.00080181,1675.733,5.832722e-06
0.00081414,1676.549,5.897621e-06
0.00082648,1677.322,5.959991e-06
0.00083882,1678.053,6.019965e-06
0.00085115,1678.746,6.077663e-06
0.00086349,1679.401,6.133197e-06
0.00087582,1680.021,6.186673e-06
0.00088816,1680.608,6.238187e-06
0.00091283,1681.685,6.335581e-06
0.0009375,1682.647,6.426297e-06
0.00096217,1683.504,6.510901e-06
0.00098684,1684.263,6.589893e-06
0.00101151,1684.932,6.663715e-06
0.00103618,1685.519,6.732761e-06
