0	        H2 
0.00033306	1166.430	0.126288248226
0.00034539	1199.373	0.122714407411
0.00035156	1215.821	0.120885199004
0.00035773	1232.241	0.119037021091
0.00037007	1264.952	0.115313301223
0.00037623	1281.195	0.113419321504
0.00038240	1297.343	0.111513730477
0.00038857	1313.377	0.109598822374
0.00039474	1329.275	0.107677074662
0.00040090	1345.014	0.105751145417
0.00040707	1360.571	0.103823867453
0.00041324	1375.919	0.101898238867
0.00041941	1391.033	0.099977409669
0.00042558	1405.885	0.098064664309
0.00043174	1420.450	0.096163399987
0.00043791	1434.697	0.094277100776
0.00044408	1448.601	0.092409307744
0.00045025	1462.133	0.090563585434
0.00045641	1475.268	0.088743485243
0.00046258	1487.979	0.086952506395
0.00046875	1500.243	0.085194055408
0.00047492	1512.037	0.083471405027
0.00048109	1523.343	0.081787653763
0.00048725	1534.142	0.080145687162
0.00049342	1544.422	0.078548141965
0.00049959	1554.172	0.076997374235
0.00050576	1563.385	0.075495432414
0.00051192	1572.060	0.074044036098
0.00051809	1580.197	0.072644561110
0.00052426	1587.801	0.071298031213
0.00053043	1594.882	0.070005116554
0.00053660	1601.453	0.068766138686
0.00054276	1607.530	0.067581081785
0.00054893	1613.133	0.066449609479
0.00055510	1618.283	0.065371086551
0.00056127	1623.005	0.064344604643
0.00056743	1627.323	0.063369011037
0.00057360	1631.265	0.062442939543
0.00057977	1634.857	0.061564842557
0.00058594	1638.127	0.060733023376
0.00059211	1641.101	0.059945667977
0.00059827	1643.806	0.059200875534
0.00060444	1646.266	0.058496687106
0.00061061	1648.505	0.057831112026
0.00061678	1650.545	0.057202151675
0.00062294	1652.408	0.056607820432
0.00062911	1654.111	0.056046163734
0.00063528	1655.673	0.055515273232
0.00064145	1657.108	0.055013299174
0.00064762	1658.432	0.054538460160
0.00065378	1659.658	0.054089050492
0.00065995	1660.795	0.053663445376
0.00066612	1661.855	0.053260104259
0.00067845	1663.770	0.052516084809
0.00069079	1665.470	0.051843828480
0.00070312	1666.999	0.051234157718
0.00071546	1668.389	0.050679094048
0.00072780	1669.667	0.050171744828
0.00074013	1670.850	0.049706180828
0.00075247	1671.952	0.049277314662
0.00076480	1672.985	0.048880786291
0.00077714	1673.955	0.048512859010
0.00078947	1674.869	0.048170327297
0.00080181	1675.733	0.047850436644
0.00081414	1676.549	0.047550814696
0.00082648	1677.322	0.047269412666
0.00083882	1678.053	0.047004455806
0.00085115	1678.746	0.046754401708
0.00086349	1679.401	0.046517905306
0.00087582	1680.021	0.046293789536
0.00088816	1680.608	0.046081020778
